Member_number,itemDescription,year,month,day,day_of_week
1033,tropical fruit,2015,4,22,2
4222,tropical fruit,2015,5,27,2
3679,citrus fruit,2015,9,21,0
2212,hamburger meat,2015,8,27,3
1507,chicken,2015,6,22,0
2870,chicken,2015,1,21,2
3429,frankfurter,2015,4,26,6
4148,canned beer,2015,9,4,4
2970,turkey,2015,12,30,2
2013,packaged fruit/vegetables,2015,8,30,6
3967,pasta,2015,5,30,5
2885,citrus fruit,2015,5,15,4
3935,sausage,2015,2,7,5
3283,whole milk,2015,1,5,0
3268,canned beer,2015,6,11,3
3677,citrus fruit,2015,4,30,3
3495,liquor (appetizer),2015,6,27,5
1410,citrus fruit,2015,4,10,4
2440,sausage,2015,6,6,5
4088,chicken,2015,1,13,1
2469,hamburger meat,2015,9,23,2
4229,sausage,2015,6,3,2
2728,beef,2015,2,8,6
4694,citrus fruit,2015,1,25,6
2836,UHT-milk,2015,12,29,1
1311,candy,2015,12,2,2
1760,newspapers,2015,1,23,4
3656,beef,2015,2,3,1
3720,sausage,2015,5,28,3
2996,frankfurter,2015,9,26,5
1949,canned beer,2015,7,22,2
4498,bottled beer,2015,11,2,0
2447,onions,2015,12,28,0
1952,tropical fruit,2015,3,23,0
4099,bottled water,2015,1,27,1
1804,beef,2015,12,3,3
1510,sausage,2015,5,16,5
2879,hair spray,2015,4,18,5
4899,chicken,2015,12,3,3
4326,pork,2015,9,29,1
1670,ice cream,2015,5,17,6
1117,meat,2015,5,24,6
1346,other vegetables,2015,3,4,2
1178,bottled water,2015,11,15,6
1649,tropical fruit,2015,6,25,3
4651,photo/film,2015,6,21,6
4243,sausage,2015,2,4,2
4429,grapes,2015,7,21,1
4645,domestic eggs,2015,7,25,5
4019,rolls/buns,2015,7,24,4
4459,tropical fruit,2015,4,26,6
3006,chicken,2015,12,27,6
1834,frankfurter,2015,9,17,3
3236,berries,2015,4,7,1
1765,margarine,2015,11,3,1
3855,tropical fruit,2015,9,3,3
4392,ham,2015,11,28,5
3330,hamburger meat,2015,7,26,6
1723,yogurt,2015,2,9,0
4110,soda,2015,3,30,0
2600,yogurt,2015,1,28,2
2946,soda,2015,7,10,4
2426,bottled water,2015,8,9,6
4170,sausage,2015,3,5,3
1109,citrus fruit,2015,6,4,3
3429,shopping bags,2015,4,1,2
2055,newspapers,2015,4,2,3
2480,frankfurter,2015,9,20,6
2441,sausage,2015,5,30,5
1054,frankfurter,2015,4,10,4
4818,salt,2015,11,1,6
3379,oil,2015,1,21,2
3939,curd,2015,10,2,4
1367,other vegetables,2015,5,8,4
1043,citrus fruit,2015,10,1,3
2231,frankfurter,2015,10,17,5
3235,root vegetables,2015,12,28,0
4554,tropical fruit,2015,7,16,3
3245,beef,2015,1,24,5
2996,berries,2015,5,19,1
2507,canned beer,2015,5,1,4
4186,whipped/sour cream,2015,10,25,6
3929,root vegetables,2015,4,28,1
3760,whole milk,2015,11,22,6
4928,beef,2015,8,18,1
4217,frozen vegetables,2015,12,18,4
1174,rolls/buns,2015,11,2,0
4103,whole milk,2015,6,19,4
4408,whole milk,2015,3,13,4
2588,citrus fruit,2015,12,28,0
2598,pastry,2015,11,11,2
1518,frankfurter,2015,11,12,3
2702,tropical fruit,2015,8,4,1
1001,frankfurter,2015,1,20,1
2270,berries,2015,9,30,2
2838,rolls/buns,2015,10,11,6
1683,root vegetables,2015,5,26,1
4040,yogurt,2015,3,4,2
3897,other vegetables,2015,8,23,6
2200,berries,2015,11,3,1
4073,berries,2015,1,29,3
3700,other vegetables,2015,4,19,6
3973,rolls/buns,2015,10,6,1
2715,ham,2015,6,7,6
3967,whole milk,2015,11,23,0
4002,tropical fruit,2015,3,9,0
2962,bottled water,2015,1,3,5
4340,butter milk,2015,12,25,4
2092,newspapers,2015,6,11,3
3143,coffee,2015,5,24,6
2209,bottled beer,2015,3,10,1
2816,onions,2015,8,22,5
2659,hamburger meat,2015,1,6,1
1588,sausage,2015,10,13,1
1144,hard cheese,2015,10,15,3
2166,sausage,2015,10,12,0
3300,hamburger meat,2015,6,10,2
3944,onions,2015,3,1,6
4979,coffee,2015,4,24,4
2630,shopping bags,2015,1,21,2
4240,yogurt,2015,4,29,2
2357,soda,2015,8,7,4
1743,sliced cheese,2015,4,18,5
2331,sausage,2015,2,15,6
1643,yogurt,2015,4,28,1
1291,domestic eggs,2015,3,20,4
3675,whole milk,2015,4,7,1
4134,meat,2015,6,11,3
1363,dish cleaner,2015,6,21,6
4212,other vegetables,2015,1,5,0
1500,whole milk,2015,3,21,5
2622,other vegetables,2015,1,10,5
3543,tropical fruit,2015,3,18,2
2525,baking powder,2015,5,24,6
1264,specialty bar,2015,12,10,3
3601,ice cream,2015,6,7,6
1771,frankfurter,2015,3,23,0
4694,canned beer,2015,6,2,1
1122,bottled water,2015,12,21,0
3507,other vegetables,2015,12,8,1
4524,citrus fruit,2015,4,26,6
3612,sausage,2015,9,27,6
3262,domestic eggs,2015,11,6,4
1897,pork,2015,1,25,6
1656,specialty cheese,2015,10,30,4
3953,pork,2015,10,1,3
1488,beef,2015,6,21,6
1652,other vegetables,2015,3,17,1
4953,chicken,2015,9,16,2
3445,soda,2015,4,30,3
3180,whole milk,2015,3,15,6
4934,rolls/buns,2015,6,9,1
2980,bottled beer,2015,4,27,0
2763,root vegetables,2015,2,13,4
4819,pastry,2015,4,3,4
3169,berries,2015,2,7,5
1850,citrus fruit,2015,11,3,1
4285,whole milk,2015,12,29,1
4366,soda,2015,8,13,3
2253,bottled water,2015,6,16,1
3398,tropical fruit,2015,11,3,1
2215,salty snack,2015,7,22,2
3737,bottled water,2015,3,3,1
2649,chocolate,2015,11,28,5
3203,citrus fruit,2015,7,8,2
4261,bottled water,2015,2,16,0
2435,onions,2015,7,17,4
2046,dessert,2015,8,21,4
4267,beef,2015,11,2,0
1086,rolls/buns,2015,12,28,0
1992,beef,2015,4,1,2
3622,soda,2015,7,26,6
4700,coffee,2015,6,27,5
2272,rolls/buns,2015,5,16,5
1663,pork,2015,5,19,1
2519,soda,2015,3,6,4
2639,sausage,2015,10,30,4
1466,beef,2015,4,19,6
4122,whole milk,2015,10,23,4
3598,pork,2015,4,15,2
3097,berries,2015,10,8,3
1873,sausage,2015,9,19,5
1537,bottled water,2015,1,2,4
3960,tropical fruit,2015,3,25,2
1136,herbs,2015,6,15,0
2453,yogurt,2015,12,21,0
1746,Instant food products,2015,2,15,6
3572,specialty chocolate,2015,9,6,6
3246,coffee,2015,6,24,2
3207,bottled beer,2015,11,26,3
1042,beef,2015,12,2,2
1176,whole milk,2015,3,30,0
3054,frankfurter,2015,2,23,0
4486,frankfurter,2015,2,12,3
1580,other vegetables,2015,5,12,1
1623,frankfurter,2015,2,11,2
4169,whole milk,2015,11,24,1
2254,frankfurter,2015,1,24,5
4095,other vegetables,2015,1,11,6
1264,bottled water,2015,11,17,1
3375,pork,2015,6,1,0
3242,bottled water,2015,5,23,5
2227,other vegetables,2015,7,6,0
3847,hamburger meat,2015,3,12,3
3897,hamburger meat,2015,5,31,6
1799,shopping bags,2015,9,27,6
2920,whole milk,2015,4,26,6
3713,ice cream,2015,1,31,5
4230,pastry,2015,5,11,0
1455,ham,2015,3,18,2
3687,frankfurter,2015,3,18,2
3869,sausage,2015,1,8,3
2988,bottled beer,2015,10,14,2
4242,bottled water,2015,3,30,0
4118,meat,2015,12,24,3
4996,dessert,2015,10,24,5
4489,other vegetables,2015,4,3,4
1199,beverages,2015,9,11,4
4108,ham,2015,12,5,5
3484,specialty bar,2015,5,6,2
1239,brown bread,2015,8,31,0
4839,whole milk,2015,12,19,5
4748,rolls/buns,2015,7,5,6
4426,bottled beer,2015,6,6,5
3571,pet care,2015,11,12,3
2852,citrus fruit,2015,8,6,3
3638,pork,2015,5,26,1
3635,other vegetables,2015,10,3,5
2723,white wine,2015,7,5,6
3495,whole milk,2015,11,3,1
2813,pip fruit,2015,11,16,0
2799,sugar,2015,2,9,0
4723,tropical fruit,2015,5,22,4
3313,root vegetables,2015,8,4,1
4748,soda,2015,12,15,1
2991,whole milk,2015,2,16,0
1483,tropical fruit,2015,1,4,6
3950,white bread,2015,1,10,5
1634,brown bread,2015,1,16,4
2694,tropical fruit,2015,11,21,5
2707,domestic eggs,2015,10,18,6
2813,coffee,2015,7,16,3
2276,soda,2015,11,1,6
4726,whole milk,2015,6,2,1
4353,bottled beer,2015,5,25,0
4017,pork,2015,8,13,3
1422,other vegetables,2015,8,21,4
2714,yogurt,2015,3,15,6
2769,sparkling wine,2015,7,21,1
4166,bottled water,2015,4,30,3
3614,citrus fruit,2015,2,3,1
4361,hamburger meat,2015,5,9,5
1922,packaged fruit/vegetables,2015,9,22,1
4728,other vegetables,2015,6,9,1
3646,soda,2015,8,8,5
1155,whole milk,2015,10,8,3
2119,herbs,2015,11,6,4
1602,citrus fruit,2015,8,29,5
1074,misc. beverages,2015,6,24,2
2256,female sanitary products,2015,11,4,2
1348,soda,2015,9,17,3
3806,tropical fruit,2015,8,28,4
1711,soda,2015,6,6,5
3959,white bread,2015,12,4,4
1590,coffee,2015,8,15,5
1962,tropical fruit,2015,8,6,3
1766,pork,2015,1,21,2
2551,citrus fruit,2015,10,21,2
2294,frankfurter,2015,9,23,2
4531,frankfurter,2015,5,29,4
2957,frankfurter,2015,12,4,4
4415,other vegetables,2015,1,27,1
1476,yogurt,2015,8,26,2
3978,sausage,2015,7,23,3
2062,whole milk,2015,9,22,1
3252,pip fruit,2015,6,28,6
3922,whole milk,2015,6,24,2
1491,root vegetables,2015,10,17,5
3526,onions,2015,8,26,2
4060,specialty chocolate,2015,11,12,3
1067,hamburger meat,2015,8,4,1
2840,photo/film,2015,1,27,1
4484,rolls/buns,2015,11,27,4
2353,canned beer,2015,7,2,3
3130,canned beer,2015,2,18,2
4273,other vegetables,2015,6,14,6
4565,canned beer,2015,12,30,2
2504,curd,2015,8,14,4
4127,butter,2015,10,23,4
2690,other vegetables,2015,1,4,6
4129,whole milk,2015,9,22,1
4511,beef,2015,6,29,0
1602,sausage,2015,4,8,2
4369,soda,2015,1,2,4
1302,fruit/vegetable juice,2015,9,29,1
3326,rolls/buns,2015,4,30,3
2066,pip fruit,2015,5,21,3
3483,frozen vegetables,2015,1,15,3
2840,beverages,2015,12,2,2
1807,hamburger meat,2015,5,18,0
2067,root vegetables,2015,12,8,1
3783,canned beer,2015,2,17,1
2884,frozen vegetables,2015,4,1,2
2908,canned beer,2015,3,15,6
1330,newspapers,2015,10,7,2
2293,rolls/buns,2015,8,5,2
3718,hamburger meat,2015,5,20,2
4338,pip fruit,2015,1,25,6
3486,canned beer,2015,8,11,1
3635,grapes,2015,4,9,3
2857,root vegetables,2015,2,18,2
3684,citrus fruit,2015,8,13,3
3120,cling film/bags,2015,10,20,1
3872,frankfurter,2015,3,19,3
2777,whole milk,2015,7,4,5
2702,pork,2015,5,27,2
4796,chicken,2015,6,29,0
1564,sausage,2015,10,23,4
2740,specialty bar,2015,2,7,5
1833,whipped/sour cream,2015,4,13,0
1757,root vegetables,2015,12,23,2
2975,rolls/buns,2015,10,24,5
4032,other vegetables,2015,10,8,3
3979,citrus fruit,2015,9,16,2
3772,whole milk,2015,9,3,3
4523,frankfurter,2015,10,28,2
4004,coffee,2015,4,19,6
2936,ham,2015,8,6,3
2394,canned beer,2015,6,21,6
4616,canned beer,2015,8,16,6
2362,canned beer,2015,8,7,4
3593,pip fruit,2015,3,11,2
4389,pork,2015,8,27,3
3206,soap,2015,11,8,6
4601,pip fruit,2015,4,1,2
4382,beef,2015,11,13,4
2718,sausage,2015,8,6,3
4691,frozen chicken,2015,12,10,3
3735,soda,2015,11,28,5
3900,tropical fruit,2015,12,20,6
4959,other vegetables,2015,6,30,1
1815,beef,2015,8,30,6
2454,meat,2015,8,4,1
4778,meat,2015,1,15,3
2289,bottled water,2015,4,11,5
1734,rolls/buns,2015,7,13,0
4019,pastry,2015,5,2,5
4605,pork,2015,5,28,3
4864,pip fruit,2015,11,14,5
4205,beef,2015,2,22,6
1862,beef,2015,3,8,6
1846,rolls/buns,2015,7,19,6
2019,citrus fruit,2015,5,28,3
2042,meat,2015,11,19,3
1768,beverages,2015,5,26,1
3847,beef,2015,3,26,3
3557,ham,2015,7,20,0
3975,hamburger meat,2015,2,27,4
4198,beef,2015,3,18,2
2580,beef,2015,4,9,3
3474,root vegetables,2015,8,25,1
1678,citrus fruit,2015,11,14,5
4254,yogurt,2015,8,14,4
4704,tropical fruit,2015,8,21,4
3343,frankfurter,2015,10,5,0
3812,beef,2015,6,24,2
3093,shopping bags,2015,3,13,4
2170,canned beer,2015,6,18,3
4867,rolls/buns,2015,10,29,3
3899,other vegetables,2015,3,23,0
2941,hamburger meat,2015,3,10,1
1958,hamburger meat,2015,3,7,5
2760,frankfurter,2015,8,8,5
4413,bottled beer,2015,3,8,6
1737,tropical fruit,2015,5,15,4
4202,soda,2015,2,18,2
1065,frankfurter,2015,11,13,4
3819,chicken,2015,6,28,6
2854,coffee,2015,8,2,6
4387,whole milk,2015,9,16,2
4530,margarine,2015,12,4,4
4191,tropical fruit,2015,3,11,2
3102,meat,2015,4,12,6
1946,cream cheese ,2015,1,25,6
2156,newspapers,2015,5,15,4
1444,rolls/buns,2015,12,16,2
1699,citrus fruit,2015,5,14,3
4954,whole milk,2015,4,5,6
2207,frankfurter,2015,8,4,1
4826,ham,2015,1,28,2
2374,frankfurter,2015,8,6,3
1604,sausage,2015,8,18,1
4437,domestic eggs,2015,11,29,6
2319,whole milk,2015,10,5,0
3018,rolls/buns,2015,6,27,5
1195,whole milk,2015,9,28,0
1768,sausage,2015,4,9,3
3017,curd,2015,9,28,0
3384,bottled water,2015,11,29,6
1918,beef,2015,1,30,4
2524,frankfurter,2015,10,17,5
2798,chicken,2015,6,17,2
2096,sausage,2015,1,25,6
1489,pork,2015,3,13,4
1431,yogurt,2015,7,20,0
2747,whole milk,2015,5,7,3
3054,frankfurter,2015,3,22,6
2691,beef,2015,9,10,3
1752,pip fruit,2015,4,19,6
3027,sausage,2015,9,15,1
4452,pastry,2015,6,17,2
4129,chicken,2015,8,13,3
3523,root vegetables,2015,9,11,4
2128,whole milk,2015,11,2,0
4867,detergent,2015,3,2,0
4762,rolls/buns,2015,10,30,4
1632,house keeping products,2015,5,29,4
4018,yogurt,2015,11,17,1
1722,tropical fruit,2015,7,13,0
1438,tropical fruit,2015,10,19,0
3958,curd,2015,10,27,1
3292,beef,2015,9,13,6
2861,whole milk,2015,2,23,0
1757,pork,2015,2,24,1
1509,other vegetables,2015,12,30,2
2364,rolls/buns,2015,11,5,3
3084,frankfurter,2015,10,26,0
1850,yogurt,2015,2,17,1
1949,whole milk,2015,3,17,1
4740,bottled water,2015,2,10,1
1072,frankfurter,2015,10,23,4
4196,rolls/buns,2015,9,7,0
4814,whole milk,2015,9,13,6
1514,rolls/buns,2015,2,28,5
4584,chicken,2015,10,25,6
2751,tropical fruit,2015,3,2,0
4155,sausage,2015,9,24,3
4670,sausage,2015,11,10,1
4566,frankfurter,2015,7,27,0
2371,UHT-milk,2015,8,30,6
3442,rolls/buns,2015,11,14,5
3090,canned beer,2015,9,27,6
1457,yogurt,2015,9,1,1
4952,whipped/sour cream,2015,8,4,1
3165,rolls/buns,2015,11,1,6
2608,rolls/buns,2015,9,19,5
2040,beverages,2015,7,10,4
1327,rolls/buns,2015,9,8,1
3363,rolls/buns,2015,7,1,2
1731,bottled beer,2015,9,9,2
2760,citrus fruit,2015,2,8,6
3120,bottled water,2015,1,14,2
1332,pastry,2015,4,30,3
4530,domestic eggs,2015,12,9,2
3145,beef,2015,2,23,0
1099,spread cheese,2015,8,13,3
3188,tropical fruit,2015,6,12,4
3748,packaged fruit/vegetables,2015,10,13,1
4655,whole milk,2015,3,31,1
1827,meat,2015,1,5,0
2485,onions,2015,2,17,1
4683,frankfurter,2015,1,15,3
4358,beef,2015,6,11,3
1931,beef,2015,9,10,3
2490,sausage,2015,12,18,4
4842,chicken,2015,8,12,2
4616,canned beer,2015,1,1,3
2810,sausage,2015,9,22,1
2785,tropical fruit,2015,10,18,6
3591,frankfurter,2015,7,20,0
3896,sausage,2015,10,9,4
3842,beef,2015,1,7,2
2648,tropical fruit,2015,10,7,2
4688,yogurt,2015,2,10,1
3511,frankfurter,2015,8,26,2
3084,bottled beer,2015,4,9,3
3810,grapes,2015,7,5,6
4348,beverages,2015,2,26,3
3584,curd,2015,10,3,5
2620,ice cream,2015,11,6,4
2716,sausage,2015,1,18,6
3797,other vegetables,2015,10,8,3
2976,dessert,2015,2,6,4
2762,decalcifier,2015,7,11,5
3752,canned beer,2015,4,25,5
1659,coffee,2015,11,30,0
4109,berries,2015,8,2,6
1542,pork,2015,7,8,2
2068,frankfurter,2015,7,6,0
4509,pork,2015,6,14,6
4646,frankfurter,2015,6,14,6
2122,frozen dessert,2015,7,4,5
2730,chicken,2015,6,15,0
1800,vinegar,2015,7,31,4
1456,rolls/buns,2015,9,18,4
1138,whole milk,2015,2,9,0
4104,pork,2015,12,6,6
4985,rolls/buns,2015,2,28,5
3181,grapes,2015,12,13,6
3178,frankfurter,2015,10,21,2
1688,finished products,2015,10,11,6
1488,onions,2015,11,28,5
4975,tropical fruit,2015,8,5,2
4697,other vegetables,2015,9,1,1
4742,ham,2015,11,1,6
2640,other vegetables,2015,4,22,2
2548,curd,2015,12,25,4
2825,sausage,2015,12,29,1
2592,canned beer,2015,4,7,1
3622,ham,2015,12,28,0
4852,packaged fruit/vegetables,2015,8,21,4
1839,meat,2015,3,9,0
2413,whole milk,2015,4,4,5
2982,canned beer,2015,6,14,6
1981,chicken,2015,10,31,5
4440,rolls/buns,2015,9,21,0
3497,pet care,2015,11,24,1
3668,root vegetables,2015,12,18,4
4460,pastry,2015,5,28,3
1335,frankfurter,2015,1,16,4
4303,chicken,2015,7,12,6
3508,frozen dessert,2015,2,28,5
1959,citrus fruit,2015,3,19,3
3856,sausage,2015,6,3,2
3141,root vegetables,2015,7,29,2
4640,root vegetables,2015,9,25,4
4851,bottled beer,2015,5,25,0
3306,frankfurter,2015,9,22,1
2193,root vegetables,2015,8,4,1
1156,berries,2015,9,13,6
4596,hamburger meat,2015,8,4,1
1245,tropical fruit,2015,8,10,0
1515,frankfurter,2015,5,7,3
2564,frankfurter,2015,7,14,1
4527,soda,2015,10,18,6
2487,ice cream,2015,9,7,0
3420,beef,2015,2,27,4
4442,whole milk,2015,11,28,5
3164,pork,2015,4,30,3
